"d0","rep","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","pixel_cov80"
0,1,0.7,0.95,0.0336299542658901,0.0094842349846408,0.0285525965963797,1.17782472611105,0.846
1,1,0.7,0.8,0.0328823891774154,0.0113385426762991,0.0286565118432865,1.14746656387347,0.852
2,1,0.75,0.9,0.0316377277746906,0.00963699931747985,0.0292364581116856,1.08213271436068,0.87
3,1,0.75,0.85,0.0340952518973649,0.0108348945287844,0.0280089113379618,1.21730014729826,0.838
4,1,0.75,0.9,0.033501595142618,0.0110728109675453,0.0284829329433243,1.17619892618783,0.862
0,2,0.75,1,0.0237512165145172,-0.0133326594649483,0.0269679458116527,0.880720269923355,0.846
1,2,0.8,0.95,0.0229374164949215,-0.01439670321308,0.0263393194969541,0.870843170324657,0.83
2,2,0.8,1,0.0249262963242374,-0.0136429745231755,0.0266866614069585,0.934035769560066,0.854
3,2,0.8,1,0.0247531229980143,-0.0131477485224057,0.0262723353015632,0.942174447527759,0.818
4,2,0.85,1,0.020860360240974,-0.0143210286169617,0.025935230181142,0.804325240041323,0.856
0,3,0.7,0.9,0.0334523917243614,0.00825868467285069,0.0295323755236033,1.13273623036606,0.886
1,3,0.8,0.95,0.0321616169665631,0.00912140611315335,0.0299222700824993,1.07483880326893,0.876
2,3,0.75,0.85,0.0335294774299392,0.00886033718219547,0.0300838382368488,1.11453456058243,0.882
3,3,0.7,0.9,0.0324266340246917,0.0057020034624577,0.0295428047182173,1.09761528514238,0.866
4,3,0.75,0.9,0.03162905211195,0.00751092312952368,0.0294176214663557,1.07517367262759,0.886
0,4,0.8,0.95,0.0273141689097013,-0.00278662551322272,0.0292893031010602,0.932564657324081,0.862
1,4,0.9,1,0.0226530239067048,-0.00251686186288921,0.0299929653125477,0.755277901689425,0.862
2,4,0.8,0.95,0.0286151775635192,-0.00382968468818734,0.0282326717351212,1.01354833973868,0.862
3,4,0.9,0.9,0.024688764019775,-0.000822606013557177,0.0291108968512674,0.848093555685147,0.854
4,4,0.9,0.95,0.0250782769754218,-0.00158606213527405,0.0292775336273551,0.856570682989165,0.868
0,5,0.95,0.95,0.0216689406273858,0.0119986884774397,0.0302118520688374,0.717233110304303,0.892
1,5,0.95,1,0.0181835811987651,0.00963349697031559,0.0291882730591672,0.622975575221781,0.876
2,5,1,1,0.0179176603102539,0.0100812114377924,0.0297343787961349,0.602590705967028,0.886
3,5,0.95,0.95,0.0200558916449146,0.00975276619951593,0.0286388722103134,0.700303122889459,0.888
4,5,0.9,1,0.017622058765869,0.00962176312067759,0.0274736868017388,0.641415871595135,0.892
0,6,0.75,0.95,0.0327859389925893,0.00577899089141718,0.029502186642002,1.11130538866269,0.868
1,6,0.75,0.95,0.0340100498458471,0.00695960966642695,0.0300728845958071,1.13092077141775,0.866
2,6,0.75,0.95,0.0322998884149593,0.00773987054470064,0.029580174362887,1.0919438140799,0.89
3,6,0.85,0.9,0.0311276302244454,0.00748121233904785,0.0296932716497962,1.04830584489194,0.884
4,6,0.85,0.95,0.030394630885053,0.00564858288996578,0.029376407916361,1.03466124829118,0.87
0,7,0.75,0.9,0.0365276734045178,-0.00313117841668441,0.0304980399509848,1.19770560544952,0.854
1,7,0.75,0.9,0.0357160313041647,-0.00631403642533542,0.0291919897149253,1.22348738996382,0.832
2,7,0.75,0.9,0.0371394563398566,-0.00523175673384369,0.0290450370202682,1.27868510940234,0.848
3,7,0.8,0.9,0.0392117224704632,-0.00193419954902849,0.0298676614613874,1.31284876524919,0.874
4,7,0.75,0.9,0.0402780437831065,-0.00246021528927067,0.0295235308810248,1.36426919752318,0.884
0,8,0.7,0.8,0.039151186887121,0.0053753148081526,0.0275895568673907,1.41905819927813,0.848
1,8,0.75,0.85,0.0368913759621997,0.00568631093002066,0.0282892060365874,1.30407958125395,0.864
2,8,0.75,0.8,0.0407329665851413,0.00633499468391489,0.0273214292831155,1.49087978388869,0.84
3,8,0.7,0.85,0.0387661701990775,0.00583093012371569,0.027470309291592,1.41120253825984,0.862
4,8,0.75,0.8,0.0363421899951701,0.00376971478558271,0.0264901332106265,1.37191420315665,0.84
0,9,0.789473684210526,0.894736842105263,0.0251442413475311,-0.00497877333167984,0.0280981636681772,0.894871339083569,0.864
1,9,0.789473684210526,0.842105263157895,0.0271532343690458,-0.00439458233139217,0.027672935862156,0.981219864213217,0.852
2,9,0.736842105263158,0.842105263157895,0.0291388509772558,-0.00327762206136005,0.0276942607263281,1.05216208026649,0.854
3,9,0.736842105263158,0.947368421052632,0.0227780751013866,-0.00204079525956672,0.0276909868406203,0.822580835868699,0.864
4,9,0.789473684210526,0.842105263157895,0.0286400397325239,-0.00603227142161677,0.0265684678410642,1.07797107096473,0.832
0,10,0.85,1,0.0205843469716259,-0.0028972145043882,0.0269893671434843,0.762683573208396,0.896
1,10,0.85,0.95,0.0212385458217936,-0.00211031588757582,0.0269905165584344,0.786889194054965,0.874
2,10,0.8,0.95,0.0219217627279907,-0.00155268575728985,0.0269872195825746,0.812301640075043,0.862
3,10,0.9,0.95,0.0206885903461494,-0.000862551877902423,0.0267572956788753,0.773194368909371,0.892
4,10,0.85,0.95,0.02020657391512,-0.0013238690900686,0.0262667434727058,0.76928355949861,0.886
0,11,0.85,0.95,0.0188392978493594,0.00342933809613838,0.0269211896878187,0.699794402395366,0.86
1,11,0.85,1,0.0196814949452014,0.00260396207549158,0.0263174982052777,0.747848248784321,0.866
2,11,0.85,1,0.0200871102911131,0.00442506936229745,0.0260323337409455,0.771621572272587,0.86
3,11,0.85,1,0.0189180966269932,0.00256376748922468,0.0271004142888508,0.698074074637901,0.862
4,11,0.9,1,0.0175241086343171,0.00245987509772628,0.0267374476352595,0.6554144162664,0.87
0,12,0.8,1,0.0289395111891393,-0.00155647883772266,0.0301239923421872,0.960679808320459,0.874
1,12,0.85,1,0.0285974300245841,-0.00118938096641817,0.0309109962726338,0.925153941088015,0.864
2,12,0.95,0.95,0.0292924287887822,0.00094914207884356,0.030617080947971,0.956734864390246,0.862
3,12,0.85,0.95,0.0288350562477668,-0.000330635390150718,0.0308420634072602,0.934926300714985,0.87
4,12,0.95,0.95,0.0269232539765114,-0.00122512391759775,0.0300736779673883,0.895243142714596,0.872
0,13,0.75,0.9,0.029933082872905,-0.0136686250405351,0.0263443326714293,1.13622475263409,0.866
1,13,0.75,1,0.0296538978775999,-0.0135503334922349,0.0268785721104736,1.10325421141121,0.848
2,13,0.8,0.95,0.0296358296960566,-0.014056750064551,0.0265556045042581,1.11599152982206,0.838
3,13,0.7,0.95,0.0308232718566491,-0.0141490474485127,0.0269459724038381,1.14389161373366,0.832
4,13,0.7,0.85,0.029203334186492,-0.0129298271990619,0.0256876954884723,1.13686080557898,0.87
0,14,0.9,1,0.0237460475270954,0.00823373524426226,0.0298375697306186,0.795843888811352,0.894
1,14,0.9,1,0.0203552739234146,0.00583726840910304,0.030479931906698,0.667825439562136,0.902
2,14,0.95,1,0.0218612383977987,0.0053438904478132,0.0296964597343761,0.736156383398541,0.872
3,14,0.85,1,0.0230511624471915,0.00678438024661207,0.0287363702504052,0.802159849915855,0.898
4,14,0.95,1,0.022699495328984,0.00664096090642799,0.0290029204218899,0.782662400847453,0.91
0,15,0.7,0.95,0.0402381566878736,0.0012141187490231,0.0326351519929514,1.23296979577617,0.882
1,15,0.7,0.9,0.0424956520221433,0.00309324621504501,0.031028540837277,1.36956656276566,0.854
2,15,0.8,1,0.036244812407965,0.00251107747166732,0.0311947688890399,1.16188751187381,0.86
3,15,0.75,1,0.0388796930070364,0.00312847944303208,0.0309926455712698,1.25448125806588,0.88
4,15,0.65,0.95,0.0347629670264107,0.00190671382556481,0.0309087814013289,1.12469548944806,0.88
0,16,0.95,0.95,0.018840840541995,0.000513290072276372,0.0284884851551439,0.661349329014537,0.862
1,16,0.95,0.95,0.0238368047751434,0.00132003494109857,0.0275797108088608,0.864287698313543,0.87
2,16,0.95,0.95,0.0212657138678029,-0.000195476256796681,0.027516609471203,0.772831910488761,0.864
3,16,0.95,0.95,0.0200752511958296,0.000621389779702312,0.0274303701755895,0.731862204823424,0.87
4,16,0.95,0.95,0.0217478956507542,0.000130285498327172,0.0269210868526721,0.807838694246314,0.894
